Player,Team,Rank,Min,Pts,FGM/A,FTM/A,3PM/A,Reb,Ast,Stl,Blk,Tov,Foul,FP,Cost,Value
"Jason Terry (G, HOU)",TOR,#6,17.1,6.0,2.2-5.0,0.3-0.6,1.3-3.5,1.6,1.3,0.7,0.3,0.7,1.3,11.17,$3500,3.19
"Maurice Harkless (SF, POR)",DET,#12,16.2,5.0,2.0-4.1,0.7-1.3,0.3-1.2,3.1,0.8,0.5,0.4,0.8,1.5,10.92,$3700,2.95
"Vince Carter (GF, MEM)",PHX,#28,18.7,6.9,2.8-6.7,0.1-0.3,0.2-3.4,2.6,0.2,0.2,0.1,0.2,2.5,10.72,$3500,3.06
"Jon Leuer (FC, PHX)",MEM,#16,12.2,5.0,2.0-4.2,0.8-1.0,0.3-0.8,3.4,0.7,0.3,0.3,0.8,1.3,10.53,$3500,3.01
"James Johnson (F, TOR)",HOU,#17,14.5,4.8,1.9-3.7,0.6-1.1,0.3-0.9,2.6,0.9,0.4,0.5,0.8,1.4,10.27,$3500,2.93
"Leandro Barbosa (G, GS)",LAL,#29,12.9,5.7,2.2-5.0,0.6-0.9,0.6-1.7,1.3,1.2,0.6,0.1,0.7,1.3,9.76,$3500,2.79
"Josh McRoberts (FC, MIA)",PHI,#30,12,3.4,1.3-2.9,0.7-1.0,0.4-1.0,2.4,1.7,0.4,0.4,0.7,1.3,9.73,$3500,2.78
"Phil Pressey (PG, PHX)",MEM,#16,12,3.5,1.4-3.5,0.4-0.9,0.3-0.9,1.2,2.8,0.7,0.1,1.4,1.1,9.34,$3500,2.67
"Anderson Varejao (FC, GS)",LAL,#29,12.7,3.5,1.4-3.1,0.6-1.1,0.0-0.0,3.5,0.8,0.4,0.1,0.6,1.8,9.3,$3500,2.66
"Noah Vonleh (PF, POR)",DET,#12,14,3.5,1.5-3.5,0.4-0.6,0.1-0.4,3.6,0.5,0.3,0.3,0.6,1.7,9.17,$3500,2.62
"Tarik Black (FC, LAL)",GS,#2,10.6,3.0,1.3-2.5,0.3-0.9,0.0-0.0,3.5,0.3,0.3,0.4,0.5,1.6,8.55,$3500,2.44
"Kyle Singler (GF, OKC)",MIL,#26,16.4,3.8,1.4-3.7,0.5-0.8,0.5-1.6,2.4,0.5,0.5,0.2,0.6,1.9,8.23,$3500,2.35
"Dwight Powell (PF, DAL)",DEN,#24,7,2.9,1.1-2.1,0.6-1.0,0.1-0.2,1.9,0.4,0.3,0.2,0.3,0.9,6.48,$3500,1.85
"Gerald Green (GF, MIA)",PHI,#30,8.1,3.0,1.1-3.0,0.2-0.5,0.4-1.3,0.9,0.3,0.2,0.2,0.2,0.6,5.13,$3500,1.47
"David Lee (FC, DAL)",DEN,#24,4.9,2.3,0.9-1.9,0.1-0.6,0.0-0.0,1.5,0.5,0.1,0.1,0.4,0.6,4.85,$4500,1.08
"Brian Roberts (G, POR)",DET,#12,6.3,2.9,1.1-2.3,0.3-0.6,0.2-0.6,0.5,0.7,0.1,0.0,0.3,0.5,4.45,$3500,1.27
"Metta World Peace (F, LAL)",GS,#2,7.1,1.9,0.7-2.2,0.1-0.4,0.3-1.0,1.1,0.4,0.2,0.2,0.2,0.8,4.42,$3500,1.26
"Sonny Weems (GF, PHX)",MEM,#16,8.8,2.1,0.8-2.0,0.1-0.3,0.3-0.7,0.9,1.0,0.2,0.0,0.7,0.9,4.38,$3500,1.25
"Ian Clark (G, GS)",LAL,#29,5.5,2.4,0.9-2.1,0.2-0.4,0.3-0.9,0.6,0.6,0.2,0.1,0.4,0.5,4.22,$3500,1.21
"Jameer Nelson (PG, DEN)",DAL,#13,5.5,1.6,0.6-1.6,0.2-0.2,0.2-0.7,0.6,1.0,0.2,0.0,0.4,0.5,3.82,$4700,0.81
"J.J. Hickson (FC, DEN)",DAL,#13,3.7,1.6,0.6-1.3,0.1-0.6,0.0-0.0,1,0.2,0.1,0.1,0.2,0.4,3.3,$0,0
"Justin Anderson (SF, DAL)",DEN,#24,4.8,1.6,0.6-1.5,0.2-0.4,0.2-0.7,0.9,0.2,0.1,0.1,0.2,0.5,3.18,$3500,0.91
"Steve Blake (G, DET)",POR,#14,4.9,1.4,0.5-1.3,0.0-0.1,0.3-0.7,0.5,0.9,0.1,0.0,0.4,0.4,3.15,$3500,0.9
"Mike Miller (GF, DEN)",DAL,#13,5.3,1.0,0.4-1.0,0.0-0.1,0.2-0.6,0.7,0.5,0.2,0.1,0.3,0.7,2.89,$3500,0.83
"Richaun Holmes (PF, PHI)",MIA,#10,3.2,1.3,0.5-1.0,0.1-0.3,0.0-0.2,0.7,0.1,0.1,0.2,0.1,0.4,2.79,$3700,0.75
"Brandon Rush (GF, GS)",LAL,#29,4.1,1.2,0.4-1.0,0.0-0.1,0.2-0.6,0.7,0.2,0.1,0.1,0.1,0.2,2.64,$3500,0.75
"Jusuf Nurkic (C, DEN)",DAL,#13,2.5,1.1,0.4-1.1,0.2-0.5,0.0-0.1,0.9,0.1,0.1,0.1,0.2,0.4,2.53,$3700,0.68
"James Michael McAdoo (PF, GS)",LAL,#29,2.9,1.1,0.4-0.8,0.1-0.4,0.0-0.0,0.7,0.2,0.1,0.1,0.2,0.4,2.44,$3500,0.7
"Charlie Villanueva (PF, DAL)",DEN,#24,2.6,1.2,0.5-1.2,0.0-0.1,0.1-0.6,0.6,0.1,0.1,0.1,0.1,0.3,2.37,$3500,0.68
"Marcelo Huertas (PG, LAL)",GS,#2,3.2,0.8,0.3-0.8,0.0-0.1,0.1-0.3,0.4,0.6,0.1,0.0,0.3,0.3,2.08,$3600,0.58
"Anthony Morrow (GF, OKC)",MIL,#26,3.7,1.4,0.5-1.2,0.0-0.1,0.3-0.7,0.3,0.1,0.1,0.0,0.1,0.3,2.01,$3500,0.57
"Carl Landry (F, PHI)",MIA,#10,1.9,1.1,0.4-0.8,0.0-0.3,0.0-0.1,0.4,0.1,0.1,0.0,0.1,0.3,1.83,$3500,0.52
"Johnny O'Bryant III (PF, MIL)",OKC,#4,3.2,0.8,0.3-0.8,0.0-0.2,0.0-0.0,0.6,0.1,0.1,0.0,0.1,0.4,1.77,$3500,0.51
"Robert Sacre (C, LAL)",GS,#2,2.9,0.7,0.3-0.7,0.0-0.3,0.0-0.0,0.6,0.1,0.0,0.1,0.1,0.4,1.67,$3500,0.48
"Jordan McRae (SG, PHX)",MEM,#16,1.9,0.9,0.3-0.6,0.0-0.3,0.1-0.3,0.1,0.2,0.1,0.0,0.1,0.2,1.42,$0,0
"K.J. McDaniels (SF, HOU)",TOR,#6,1.7,0.6,0.2-0.6,0.0-0.2,0.0-0.2,0.3,0.1,0.1,0.1,0.1,0.3,1.41,$3500,0.4
"JaVale McGee (C, DAL)",DEN,#24,1.6,0.7,0.3-0.5,0.1-0.2,0.0-0.0,0.5,0.0,0.0,0.1,0.1,0.2,1.4,$3500,0.4
"Montrezl Harrell (PF, HOU)",TOR,#6,1.7,0.6,0.2-0.4,0.0-0.2,0.0-0.0,0.3,0.1,0.1,0.0,0.1,0.2,1.21,$3500,0.35
